Membership Status,Satisfaction,Product Quality,Customer Service,Product Discounts,Early Access,Exclusive Products,Free Shipping,Personalized Recommendations,Rewards Points,Educational Content,Community Access,Likelihood to Renew,Cancellation Reason,Inflation Effect,Net Promoter Score,Improvement Suggestion,Age Range,Math Check,Membership Length,Gender,Household Income
Former member (cancelled 3-6 months ago),2,3,5,3,7,8,6,9,7,9,9,0,Variety of products,"Yes, somewhat",3,More tutorials and tips,18-24,4,Less than 3 months,Woman,"$25,000 - $49,999"
Current member,5,1,2,7,7,8,6,9,5,6,9,2,Customer service issues,Unsure,7,More variety in product selection,35-44,4,7-12 months,Woman,"Under $25,000"
Former member (cancelled within the last 3 months),3,2,3,8,9,6,8,9,6,9,1,5,Not using products enough,"No, not at all",4,More tutorials and tips,18-24,4,3-6 months,Woman,"$25,000 - $49,999"
Former member (cancelled within the last 3 months),5,4,5,9,9,5,8,8,6,6,8,4,Not using products enough,"No, not at all",4,More shade options,35-44,4,7-12 months,Woman,"$100,000 - $149,999"
Current member,5,4,4,9,5,3,1,9,5,4,7,1,Variety of products,"Yes, somewhat",6,More shade options,25-34,4,1-2 years,Woman,"$25,000 - $49,999"
Current member,1,3,5,7,8,8,7,8,8,8,6,3,Variety of products,"No, not at all",3,More tutorials and tips,18-24,4,Less than 3 months,Woman,"Under $25,000"
Current member,4,5,5,5,7,8,7,9,7,7,8,4,Lack of customization,"Yes, significantly",4,More shade options,18-24,4,Less than 3 months,Woman,"$25,000 - $49,999"
Current member,4,4,4,8,9,4,9,8,7,9,6,3,Variety of products,"Yes, somewhat",1,Better customization,45-54,4,3-6 months,Man,"$50,000 - $74,999"
Current member,4,1,3,8,9,7,9,8,3,2,9,5,Not using products enough,"Yes, somewhat",1,More variety in product selection,25-34,4,7-12 months,Woman,"$100,000 - $149,999"
Former member (cancelled 3-6 months ago),5,4,5,9,9,8,9,9,9,6,4,3,Not using products enough,"Yes, somewhat",8,Flexible skipping options,18-24,4,7-12 months,Woman,"$25,000 - $49,999"
Former member (cancelled within the last 3 months),2,5,4,7,6,7,3,8,9,8,6,4,Variety of products,Unsure,4,Better customization,25-34,4,1-2 years,Woman,"$25,000 - $49,999"
Current member,3,2,3,8,2,8,6,9,8,8,6,5,Cost of membership,"Yes, significantly",6,Better customization,25-34,4,1-2 years,Woman,"Under $25,000"
Current member,4,4,4,6,6,7,9,9,7,7,7,2,Variety of products,"Yes, somewhat",4,More tutorials and tips,25-34,4,Less than 3 months,Woman,"$75,000 - $99,999"
Current member,1,5,4,9,2,8,6,9,6,8,2,3,No longer interested in makeup subscription services,Unsure,3,Flexible skipping options,45-54,4,7-12 months,Non-binary,"$75,000 - $99,999"
Current member,3,3,5,7,6,6,2,9,9,6,6,4,Lack of customization,"No, not at all",8,More shade options,25-34,4,3-6 months,Woman,"$75,000 - $99,999"
Current member,5,4,1,7,7,8,8,8,8,7,9,0,Not using products enough,"Yes, significantly",5,Flexible skipping options,25-34,4,3-6 months,Woman,"$75,000 - $99,999"
Current member,4,4,4,7,7,7,7,9,6,5,9,5,Found better alternatives,"Yes, somewhat",7,Flexible skipping options,18-24,4,More than 2 years,Woman,Prefer not to say
Current member,4,4,5,2,9,8,7,9,6,2,4,0,Lack of customization,Unsure,2,Lower pricing tiers,18-24,4,7-12 months,Woman,"$25,000 - $49,999"
Former member (cancelled 3-6 months ago),4,3,3,7,1,7,5,9,9,6,1,4,Variety of products,"No, not at all",7,Better customization,18-24,4,1-2 years,Woman,"$50,000 - $74,999"
Current member,2,2,5,9,6,9,6,9,6,8,6,5,Not using products enough,"Yes, somewhat",1,Better customization,45-54,4,Less than 3 months,Woman,"$25,000 - $49,999"
Current member,3,2,1,9,8,7,8,9,6,7,6,4,Variety of products,"Yes, significantly",2,Better customization,35-44,4,3-6 months,Woman,"$50,000 - $74,999"
Former member (cancelled more than 6 months ago),3,4,5,9,6,6,6,8,9,7,8,2,Variety of products,"Yes, somewhat",4,More variety in product selection,18-24,4,Less than 3 months,Woman,"Under $25,000"
Current member,4,5,1,7,7,2,7,8,7,6,7,4,Not using products enough,"No, not at all",1,Better customization,18-24,4,3-6 months,Woman,"$50,000 - $74,999"
Former member (cancelled more than 6 months ago),5,5,5,7,2,7,8,9,7,5,8,2,No longer interested in makeup subscription services,"Yes, somewhat",1,Lower pricing tiers,35-44,4,1-2 years,Non-binary,"$100,000 - $149,999"
Current member,4,4,2,8,9,8,9,9,9,6,7,4,Cost of membership,"Yes, significantly",2,More shade options,35-44,4,7-12 months,Man,"$25,000 - $49,999"
Former member (cancelled within the last 3 months),2,4,4,9,8,9,8,9,9,9,6,4,Not using products enough,"Yes, significantly",8,More tutorials and tips,25-34,4,Less than 3 months,Woman,"$25,000 - $49,999"
Current member,4,3,4,8,7,5,1,9,8,9,5,2,Variety of products,"Yes, significantly",6,Better customization,35-44,4,3-6 months,Woman,"$25,000 - $49,999"
Current member,4,4,5,6,7,9,9,8,7,6,8,4,Variety of products,"Yes, somewhat",7,More shade options,35-44,4,7-12 months,Woman,"$50,000 - $74,999"
Former member (cancelled within the last 3 months),2,5,5,9,2,1,7,9,9,8,6,3,Cost of membership,"Yes, significantly",8,More tutorials and tips,25-34,4,Less than 3 months,Woman,"$150,000 or more"
Current member,4,2,2,7,9,6,9,9,9,2,7,4,Not using products enough,"No, not at all",6,Better customization,25-34,4,More than 2 years,Woman,"$50,000 - $74,999"
Former member (cancelled within the last 3 months),1,2,2,7,9,6,8,9,8,7,7,1,Not using products enough,"No, not at all",5,Flexible skipping options,18-24,4,7-12 months,Woman,"$100,000 - $149,999"
Current member,3,4,3,2,4,5,8,8,8,7,6,4,Found better alternatives,"Yes, significantly",7,Flexible skipping options,25-34,4,3-6 months,Woman,"Under $25,000"
Current member,5,2,4,9,7,9,8,8,6,7,9,5,Variety of products,"Yes, somewhat",1,Lower pricing tiers,18-24,4,3-6 months,Woman,"Under $25,000"
Former member (cancelled within the last 3 months),4,5,5,6,8,6,9,8,3,2,9,5,Not using products enough,"Yes, significantly",8,Flexible skipping options,25-34,4,3-6 months,Woman,"$75,000 - $99,999"
Former member (cancelled 3-6 months ago),3,4,2,7,9,1,6,9,6,8,7,4,Not using products enough,"Yes, significantly",8,Flexible skipping options,25-34,4,Less than 3 months,Woman,"$25,000 - $49,999"
Former member (cancelled 3-6 months ago),5,5,5,5,6,9,7,9,8,4,6,3,Not using products enough,"Yes, somewhat",4,Flexible skipping options,25-34,4,7-12 months,Woman,"Under $25,000"
Current member,2,3,4,6,8,7,7,8,9,8,8,3,Product quality issues,"No, not at all",5,More shade options,25-34,4,3-6 months,Woman,"$75,000 - $99,999"
Current member,4,5,4,7,9,7,6,8,1,1,7,0,Not using products enough,"Yes, significantly",2,More tutorials and tips,35-44,4,More than 2 years,Woman,"Under $25,000"
Former member (cancelled 3-6 months ago),5,3,3,8,7,9,8,9,9,9,9,5,Not using products enough,"Yes, somewhat",8,Lower pricing tiers,25-34,4,Less than 3 months,Woman,"$25,000 - $49,999"
Current member,4,4,2,9,7,8,9,9,3,8,6,4,Variety of products,"Yes, significantly",9,More shade options,45-54,4,Less than 3 months,Woman,"$150,000 or more"
Former member (cancelled 3-6 months ago),3,5,4,6,9,7,8,8,7,9,2,5,Lack of customization,"Yes, somewhat",9,Better customization,18-24,4,1-2 years,Woman,"$100,000 - $149,999"
Current member,5,4,3,9,8,9,9,8,8,8,9,3,Variety of products,"Yes, significantly",2,More shade options,18-24,4,Less than 3 months,Woman,"$50,000 - $74,999"
Former member (cancelled within the last 3 months),3,4,5,7,6,7,6,8,7,9,6,1,Lack of customization,"Yes, significantly",3,More shade options,18-24,4,Less than 3 months,Woman,"$25,000 - $49,999"
Current member,1,3,5,6,6,8,4,9,8,8,2,0,Product quality issues,"Yes, somewhat",4,More variety in product selection,55-64,4,1-2 years,Woman,"Under $25,000"
Former member (cancelled more than 6 months ago),5,5,1,8,2,9,7,8,3,8,3,3,Not using products enough,"Yes, significantly",5,Flexible skipping options,25-34,4,Less than 3 months,Woman,"$100,000 - $149,999"
Former member (cancelled more than 6 months ago),5,5,5,7,6,6,9,8,1,7,7,2,No longer interested in makeup subscription services,"Yes, somewhat",1,More shade options,65+,4,Less than 3 months,Woman,"$25,000 - $49,999"
Current member,5,4,5,7,4,8,5,8,9,4,9,2,Variety of products,"Yes, significantly",2,More variety in product selection,18-24,4,3-6 months,Woman,"Under $25,000"
Former member (cancelled more than 6 months ago),2,3,4,8,7,9,8,8,7,6,9,4,Variety of products,"No, not at all",3,Better customization,25-34,4,3-6 months,Woman,"Under $25,000"
Former member (cancelled within the last 3 months),5,4,3,1,9,7,9,8,3,7,7,3,Product quality issues,"Yes, significantly",8,Better customization,35-44,4,7-12 months,Woman,"$75,000 - $99,999"
Former member (cancelled more than 6 months ago),1,4,4,8,9,8,7,9,8,6,8,4,Not using products enough,"Yes, significantly",2,Flexible skipping options,25-34,4,1-2 years,Woman,"$75,000 - $99,999"
Current member,4,5,2,7,9,7,1,9,2,1,3,3,Lack of customization,Unsure,6,More shade options,18-24,4,Less than 3 months,Woman,"$25,000 - $49,999"
Former member (cancelled within the last 3 months),5,5,5,6,9,9,6,8,9,7,9,5,Not using products enough,"No, not at all",8,Better customization,18-24,4,More than 2 years,Woman,"$25,000 - $49,999"
Current member,5,5,4,6,9,6,7,8,7,9,6,5,Variety of products,"Yes, somewhat",6,More variety in product selection,25-34,4,1-2 years,Woman,"$150,000 or more"
Current member,4,4,5,8,8,9,9,9,8,7,6,5,Variety of products,"Yes, significantly",3,Better customization,55-64,4,7-12 months,Woman,"$25,000 - $49,999"
Current member,2,3,4,4,8,7,6,9,2,7,7,4,Variety of products,"No, not at all",4,More tutorials and tips,18-24,4,3-6 months,Woman,"$50,000 - $74,999"
Current member,2,5,5,7,6,7,6,8,8,9,8,3,Variety of products,"No, not at all",5,More tutorials and tips,18-24,4,Less than 3 months,Woman,"$75,000 - $99,999"
Current member,4,5,4,4,7,7,7,9,8,8,7,3,Customer service issues,"Yes, somewhat",5,More shade options,65+,4,1-2 years,Woman,"$25,000 - $49,999"
Current member,5,5,3,3,8,6,7,8,6,8,9,2,Found better alternatives,"Yes, significantly",9,Flexible skipping options,25-34,4,7-12 months,Woman,"$50,000 - $74,999"
Former member (cancelled more than 6 months ago),4,4,4,1,8,6,7,8,8,8,4,4,Customer service issues,"Yes, significantly",9,Lower pricing tiers,45-54,4,3-6 months,Woman,"$75,000 - $99,999"
Current member,3,3,5,7,5,6,5,9,6,8,6,5,Variety of products,"No, not at all",2,Lower pricing tiers,18-24,4,3-6 months,Woman,"$50,000 - $74,999"
Former member (cancelled more than 6 months ago),5,1,5,9,8,7,8,8,4,8,6,4,Not using products enough,"No, not at all",2,Better customization,18-24,4,Less than 3 months,Woman,"$25,000 - $49,999"
Current member,5,5,5,9,7,9,9,8,6,7,6,2,Lack of customization,"Yes, significantly",7,Lower pricing tiers,25-34,4,7-12 months,Woman,"$25,000 - $49,999"
Current member,4,4,5,8,8,2,9,8,6,7,7,5,Cost of membership,"Yes, significantly",1,Better customization,45-54,4,3-6 months,Woman,"Under $25,000"
Current member,3,4,3,9,9,8,8,9,4,6,6,5,Variety of products,"No, not at all",2,More shade options,18-24,4,7-12 months,Woman,"$25,000 - $49,999"
Current member,2,4,4,7,8,8,8,8,6,2,6,5,Variety of products,Unsure,8,Better customization,18-24,4,3-6 months,Woman,"$100,000 - $149,999"
Former member (cancelled within the last 3 months),4,5,4,7,8,5,3,9,6,1,6,5,Not using products enough,"Yes, significantly",9,Lower pricing tiers,18-24,4,7-12 months,Woman,"$50,000 - $74,999"
Former member (cancelled 3-6 months ago),4,5,5,9,9,8,6,8,6,5,8,4,Not using products enough,"Yes, significantly",7,More tutorials and tips,18-24,4,3-6 months,Woman,"$25,000 - $49,999"
Former member (cancelled within the last 3 months),3,2,5,7,2,6,8,9,8,9,3,4,Found better alternatives,"Yes, significantly",8,Lower pricing tiers,18-24,4,More than 2 years,Woman,"$150,000 or more"
Current member,5,5,2,9,3,5,9,8,7,9,7,3,No longer interested in makeup subscription services,"Yes, somewhat",2,More shade options,18-24,4,Less than 3 months,Woman,"$100,000 - $149,999"
Current member,5,4,1,7,7,6,9,9,7,6,9,4,Variety of products,"Yes, significantly",1,Flexible skipping options,45-54,4,Less than 3 months,Woman,"$25,000 - $49,999"
Former member (cancelled more than 6 months ago),5,1,5,8,1,9,9,8,9,6,8,3,Variety of products,"Yes, significantly",8,More variety in product selection,25-34,4,Less than 3 months,Woman,"$25,000 - $49,999"
Current member,3,4,4,9,6,6,8,9,8,6,5,5,Not using products enough,"Yes, somewhat",4,Better customization,25-34,4,Less than 3 months,Woman,"$25,000 - $49,999"
Former member (cancelled 3-6 months ago),2,5,4,1,7,7,9,9,9,6,8,5,Not using products enough,"Yes, somewhat",2,More shade options,18-24,4,3-6 months,Woman,"$150,000 or more"
Former member (cancelled within the last 3 months),2,5,5,9,9,7,9,8,7,7,1,4,Variety of products,"Yes, somewhat",2,More variety in product selection,18-24,4,3-6 months,Woman,"$100,000 - $149,999"
Former member (cancelled 3-6 months ago),2,5,5,2,7,7,7,9,9,6,6,4,Not using products enough,"Yes, somewhat",2,Better customization,18-24,4,Less than 3 months,Woman,"$50,000 - $74,999"
Former member (cancelled 3-6 months ago),3,5,5,8,8,6,7,8,1,7,6,4,Not using products enough,"Yes, somewhat",9,More shade options,25-34,4,1-2 years,Woman,"$50,000 - $74,999"
Former member (cancelled 3-6 months ago),3,5,4,2,9,7,6,9,9,7,8,3,Not using products enough,"Yes, significantly",1,More variety in product selection,18-24,4,1-2 years,Woman,"$25,000 - $49,999"
Current member,3,1,5,7,6,6,5,8,9,8,8,5,Not using products enough,"Yes, somewhat",3,More shade options,25-34,4,3-6 months,Woman,"$25,000 - $49,999"
Current member,3,5,4,7,9,6,7,9,6,2,2,2,Lack of customization,"Yes, significantly",9,More tutorials and tips,65+,4,7-12 months,Woman,"$75,000 - $99,999"
Current member,3,4,5,9,6,5,9,8,7,8,6,4,Not using products enough,"Yes, somewhat",2,Lower pricing tiers,18-24,4,3-6 months,Woman,"Under $25,000"
Current member,3,4,3,2,5,8,4,9,2,8,9,4,Product quality issues,"Yes, significantly",8,Flexible skipping options,18-24,4,More than 2 years,Woman,"$75,000 - $99,999"
Former member (cancelled within the last 3 months),3,2,4,6,9,8,9,8,6,4,7,4,Variety of products,"Yes, significantly",4,More tutorials and tips,25-34,4,7-12 months,Woman,"$25,000 - $49,999"
Current member,4,4,3,9,8,9,7,8,4,7,6,5,Not using products enough,"Yes, significantly",8,More shade options,35-44,4,7-12 months,Woman,"$25,000 - $49,999"
Former member (cancelled 3-6 months ago),5,3,5,8,4,7,4,9,5,6,7,5,Cost of membership,"Yes, somewhat",6,Lower pricing tiers,25-34,4,1-2 years,Woman,"$75,000 - $99,999"
Former member (cancelled 3-6 months ago),5,5,4,9,6,2,6,8,7,7,7,4,Cost of membership,Unsure,9,More tutorials and tips,55-64,4,3-6 months,Woman,"$25,000 - $49,999"
Current member,2,4,5,8,9,8,7,9,7,7,9,5,Customer service issues,"Yes, somewhat",7,Flexible skipping options,18-24,4,7-12 months,Woman,"$100,000 - $149,999"
Former member (cancelled more than 6 months ago),2,4,4,9,6,6,9,8,9,6,9,0,Product quality issues,"Yes, somewhat",8,More shade options,25-34,4,1-2 years,Woman,"$75,000 - $99,999"
Current member,3,3,5,9,6,4,6,8,8,9,9,5,Variety of products,"Yes, somewhat",8,More tutorials and tips,25-34,4,More than 2 years,Woman,"$75,000 - $99,999"
Current member,3,3,5,6,9,8,7,9,6,6,7,5,Variety of products,"No, not at all",9,More variety in product selection,25-34,4,Less than 3 months,Woman,Prefer not to say
Former member (cancelled within the last 3 months),3,4,3,7,9,6,7,8,6,6,8,5,Lack of customization,"Yes, significantly",1,Lower pricing tiers,45-54,4,3-6 months,Woman,"$75,000 - $99,999"
Current member,4,3,4,4,7,7,6,8,3,6,8,0,Variety of products,"Yes, significantly",1,More variety in product selection,25-34,4,1-2 years,Woman,"$25,000 - $49,999"
Former member (cancelled more than 6 months ago),2,2,4,8,6,8,9,9,9,3,8,0,Cost of membership,"Yes, significantly",8,More tutorials and tips,18-24,4,1-2 years,Man,"$25,000 - $49,999"
Former member (cancelled more than 6 months ago),5,5,4,9,8,6,6,9,8,8,6,5,Not using products enough,"Yes, somewhat",8,Lower pricing tiers,18-24,4,3-6 months,Woman,"Under $25,000"
Current member,4,5,3,8,5,8,7,8,6,9,9,4,Cost of membership,"Yes, somewhat",2,More shade options,25-34,4,More than 2 years,Woman,"Under $25,000"
Current member,4,4,3,6,3,9,6,9,6,9,8,4,Variety of products,"Yes, somewhat",1,Lower pricing tiers,25-34,4,Less than 3 months,Woman,Prefer not to say
Current member,5,5,5,7,6,8,4,8,7,8,6,0,Variety of products,"No, not at all",3,More variety in product selection,18-24,4,More than 2 years,Woman,"$25,000 - $49,999"
Former member (cancelled within the last 3 months),3,3,2,7,7,9,6,8,9,3,9,5,Product quality issues,"Yes, significantly",3,More variety in product selection,18-24,4,1-2 years,Woman,"$50,000 - $74,999"
Former member (cancelled more than 6 months ago),2,4,3,9,7,8,8,9,7,6,2,0,Variety of products,"Yes, somewhat",5,More tutorials and tips,25-34,4,1-2 years,Woman,"$25,000 - $49,999"
Current member,5,4,2,1,9,6,9,9,6,7,9,4,Variety of products,"Yes, significantly",3,More variety in product selection,18-24,4,3-6 months,Woman,"Under $25,000"
Current member,3,4,4,6,6,6,5,9,6,9,6,5,Not using products enough,"No, not at all",7,More shade options,18-24,4,1-2 years,Woman,"$25,000 - $49,999"
Former member (cancelled within the last 3 months),2,4,5,8,2,6,8,9,6,9,7,0,Lack of customization,"No, not at all",2,More variety in product selection,25-34,4,More than 2 years,Woman,"$25,000 - $49,999"
Current member,5,4,5,7,6,8,8,9,8,6,8,3,Not using products enough,"No, not at all",7,More tutorials and tips,25-34,4,3-6 months,Woman,"$50,000 - $74,999"
Current member,3,5,4,9,6,9,8,9,5,8,4,3,Variety of products,Unsure,3,Better customization,18-24,4,7-12 months,Woman,"$50,000 - $74,999"
Current member,5,5,3,4,2,7,8,8,8,8,6,5,Variety of products,"No, not at all",2,More shade options,18-24,4,3-6 months,Woman,"Under $25,000"
Current member,3,5,4,7,3,7,6,9,9,2,9,4,Variety of products,Unsure,1,Lower pricing tiers,45-54,4,7-12 months,Woman,"$25,000 - $49,999"
Former member (cancelled more than 6 months ago),2,5,3,7,6,9,9,9,9,8,9,4,Product quality issues,Unsure,5,More tutorials and tips,18-24,4,1-2 years,Woman,"Under $25,000"
Former member (cancelled more than 6 months ago),4,4,4,3,9,6,9,8,8,6,6,2,Lack of customization,"Yes, somewhat",7,More variety in product selection,18-24,4,7-12 months,Woman,"$75,000 - $99,999"
Former member (cancelled 3-6 months ago),4,5,2,2,8,6,7,8,7,6,7,5,Not using products enough,"Yes, somewhat",8,More shade options,18-24,4,More than 2 years,Woman,"$25,000 - $49,999"
Current member,5,3,4,6,6,7,7,9,8,9,8,4,Not using products enough,"Yes, somewhat",1,More shade options,35-44,4,Less than 3 months,Woman,"Under $25,000"
Current member,1,4,4,8,4,4,7,9,7,9,7,3,Variety of products,"Yes, somewhat",7,Lower pricing tiers,25-34,4,1-2 years,Woman,"$75,000 - $99,999"
Former member (cancelled within the last 3 months),2,5,4,5,8,8,8,9,6,2,6,4,Found better alternatives,"Yes, somewhat",3,Better customization,65+,4,1-2 years,Woman,"$25,000 - $49,999"
Former member (cancelled more than 6 months ago),5,5,4,8,6,8,6,8,9,7,9,4,Not using products enough,"Yes, significantly",2,Better customization,25-34,4,7-12 months,Woman,"Under $25,000"
Current member,2,1,2,9,6,9,7,9,8,7,9,4,No longer interested in makeup subscription services,"Yes, somewhat",1,More variety in product selection,18-24,4,7-12 months,Woman,"$25,000 - $49,999"
Current member,1,5,3,9,6,2,1,8,5,9,6,3,Variety of products,Unsure,9,Flexible skipping options,18-24,4,3-6 months,Woman,"$25,000 - $49,999"
Former member (cancelled 3-6 months ago),4,5,5,6,6,6,6,9,6,4,3,3,Not using products enough,"Yes, significantly",5,Better customization,25-34,4,3-6 months,Woman,"$75,000 - $99,999"
Former member (cancelled more than 6 months ago),2,5,5,9,6,6,9,8,9,6,8,4,Cost of membership,"Yes, somewhat",9,Better customization,18-24,4,7-12 months,Woman,"$75,000 - $99,999"
Former member (cancelled more than 6 months ago),4,5,1,6,7,8,8,8,2,9,6,5,Lack of customization,Unsure,2,Flexible skipping options,25-34,4,3-6 months,Woman,"$25,000 - $49,999"
Former member (cancelled 3-6 months ago),5,3,4,8,6,9,9,9,7,7,7,5,Found better alternatives,"No, not at all",8,More variety in product selection,55-64,4,7-12 months,Woman,"$25,000 - $49,999"
Current member,1,3,4,6,9,9,6,8,7,6,6,4,Variety of products,"Yes, somewhat",1,More tutorials and tips,35-44,4,3-6 months,Woman,"$25,000 - $49,999"
Former member (cancelled 3-6 months ago),1,5,4,1,9,3,5,9,8,9,7,5,Not using products enough,"Yes, significantly",8,Lower pricing tiers,18-24,4,3-6 months,Woman,"$25,000 - $49,999"
Current member,4,4,5,6,8,7,6,9,6,4,7,4,Variety of products,"Yes, somewhat",1,More tutorials and tips,25-34,4,More than 2 years,Woman,"$25,000 - $49,999"
Former member (cancelled 3-6 months ago),4,3,3,1,6,9,6,8,8,1,8,4,Not using products enough,"Yes, significantly",3,More variety in product selection,18-24,4,3-6 months,Woman,"$25,000 - $49,999"
Current member,5,4,4,2,8,9,3,9,3,7,8,0,Variety of products,Unsure,1,More tutorials and tips,18-24,4,3-6 months,Woman,"$75,000 - $99,999"
Former member (cancelled 3-6 months ago),5,4,4,7,6,2,9,8,6,9,7,2,Lack of customization,"Yes, significantly",3,Better customization,35-44,4,More than 2 years,Woman,"$25,000 - $49,999"
Former member (cancelled more than 6 months ago),4,5,4,6,4,9,7,8,2,9,7,3,Variety of products,"No, not at all",4,More variety in product selection,18-24,4,3-6 months,Prefer to self-describe,"$50,000 - $74,999"
